# ZFIN registered line designations (allele-symbol prefix -> lab of origin).
# Source: https://zfin.org/action/feature/line-designations (fetched 2026-09-01).
# Regenerate by re-running the parser in the PR that added this file against
# a fresh copy of that page. Columns: prefix<TAB>institution<TAB>labs
ced	German Center for Neurodegenerative Diseases (DZNE) Dresden	Kizil Lab
cf	Cornell University	Joe Fetcho Lab
cg	Colgate University	Meyers Lab
ch	University of Chicago	Anderson Group , Chuan He Lab , Prince Lab , Robert Ho Lab , Shubin Lab
chb	Boston Children's Hospital	Burns Lab , Joanne Chan Lab , Mably Lab , Poduri Lab
chh	Changsha Hospital for Maternal and Child Health Care	Xiangwen Peng lab
chi	Chiba University	Itoh Lab
chk	Chinese University of Hong Kong	Bo Gao's Lab , Gu Lab
ci	Cincinnati Children's Hospital Medical Center	Barske Lab , Chunyue Yin Lab , Ozbudak Lab , Slavotinek Lab , Waxman Lab
cif	ICAR-Central Institute of Fisheries Education	Chaudhari Lab
cig	Chongqing Institute of Green and Intelligent Technology	Pei Lab, Research Center for Environment and Health (RCEH)
cj	Cancer Research UK London Research Institute	Vertebrate Development Laboratory
ck	Chungnam National University	Cheol-Hee Kim Lab , Laboratory of cellular differentiation
cku	National Cheng-Kung University	TF Fu Lab
cl	Children's Hospital, Boston	Aquatic Resources Program , Beggs Lab , Engle Lab , Hildebrandt Lab , Kunkel Lab , Lencer Lab
clm	Clemson University	Rosowski Lab
cm	Cornell University	McCune Lab
cmg	Ghent University - Center for Medical Genetics Ghent (CMGG)	Callewaert Lab , Center for Medical Genetics Ghent (CMGG) , Center for medical genetics, Lab for cancer predisposition and precision oncology , Speleman Lab
cmr	Center for Regenerative Medicine in Barcelona	Raya Lab
cms	Chonnam National University Medical School	Seok-Yong Choi Lab
cn	Centro Nacional de Investigaciones Cardiovasculares CNIC	de la Pompa Lab
cnu	National Changhua University of Education	CF Ken Lab
